check_id,category,requirement,status,evidence,notes
QC-001,editorial,Every retained sentence is complete and grammatical,unknown,,
QC-002,editorial,No medical qualifier or safety instruction was lost,unknown,,
QC-003,dialogue,Retakes and false starts were reviewed before pause removal,unknown,,
QC-004,presenter,Full head and comfortable headroom are preserved,unknown,,
QC-005,presenter,No overlay covers the mouth or chin,unknown,,
QC-006,presenter,Recorded background remains unchanged,unknown,,
QC-007,layout,Dense graphics are not obstructed by decorative presenter insets,unknown,,
QC-008,text,Semantic overlays are complete thoughts and preferably one line,unknown,,
QC-009,text,Two-line overlays are short and balanced,unknown,,
QC-010,text,Overlays remain above player controls and bottom border,unknown,,
QC-011,brand,Exactly one KundlasMD logo is visible,unknown,,
QC-012,brand,No Shield Medical Group branding appears,unknown,,
QC-013,brand,Logo clear space is intact,unknown,,
QC-014,brand,Fonts colors and contrast match the brand contract,unknown,,
QC-015,assets,Every promised asset is reconciled to the timeline,unknown,,
QC-016,assets,Every generated asset has an inspected proof,unknown,,
QC-017,audio,No music exists unless explicitly approved,unknown,,
QC-018,program,Chapters disclaimer CTA and end screen are present,unknown,,
QC-019,technical,Review copy plays on a phone-class device,unknown,,
QC-020,technical,4K master is 3840x2160 at the approved fps,unknown,,
QC-021,technical,Audio loudness and true peak are verified,unknown,,
QC-022,technical,The complete master decodes without errors,unknown,,
QC-023,captions,SRT timing order spelling and duration are verified,unknown,,
QC-024,delivery,Destination reports successful import and correct duration,unknown,,
QC-025,storage,Every project-specific file is inside the current Dropbox Borumi video folder,unknown,,
QC-026,efficiency,Dialogue assets and review feedback were processed in batches without skipping gates,unknown,,
